洗髓丹: 回复状态的20%，铭纹境以上可以使用,器师可以无视境界限制使用！
养气丹: 回复状态的25%，列阵境以上可以使用,器师可以无视境界限制使用！
九转丹: 回复状态的30%，尊者境以上可以使用,器师可以无视境界限制使用！
易筋丹: 回复状态的35%，神火境以上可以使用,器师可以无视境界限制使用！
天尘丹: 回复状态的40%，真一境以上可以使用,器师可以无视境界限制使用！
天元神丹: 回复状态的45%，圣祭境以上可以使用,器师可以无视境界限制使用！
太乙碧莹丹: 回复状态的50%，天神境以上可以使用,器师可以无视境界限制使用！
六阳长生丹: 回复状态的60%，虚道境以上可以使用,器师可以无视境界限制使用！
道源丹: 回复全部状态，斩我境以上可以使用,器师可以无视境界限制使用！
筑基丹: 冲击洞天境必备的丹药，使突破到洞天境的概率提升30%，只可使用三颗！
聚顶丹: 冲击化灵境必备的2种丹药之一，使突破到化灵境的概率提升20%，只可使用三颗！
朝元丹: 冲击化灵境必备的2种丹药之一，使突破到化灵境的概率提升20%，只可使用三颗！
锻脉丹: 冲击铭纹境必备的2种丹药之一，使突破到铭纹境的概率提升20%，只可使用三颗！
护脉丹: 冲击铭纹境必备的2种丹药之一，使突破到铭纹境的概率提升20%，只可使用三颗！
天命淬体丹: 冲击列阵境必备的3种丹药之一，使突破到列阵境的概率提升10%，只可使用三颗！
澄心塑魂丹: 冲击列阵境必备的3种丹药之一，使突破到列阵境的概率提升10%，只可使用三颗！
混元仙体丹: 冲击列阵境必备的3种丹药之一，使突破到列阵境的概率提升10%，只可使用三颗！
黑炎丹: 冲击尊者境必备的2种丹药之一，使突破到尊者境的概率提升10%，只可使用三颗！
金血丸: 冲击尊者境必备的2种丹药之一，使突破到尊者境的概率提升10%，只可使用三颗！
虚灵丹: 冲击神火境必备的2种丹药之一，使突破到神火境的概率提升10%，只可使用三颗！
净明丹: 冲击神火境必备的2种丹药之一，使突破到神火境的概率提升10%，只可使用三颗！
安神灵液: 冲击真一境必备的2种丹药之一，使突破到真一境的概率提升10%，只可使用三颗！
魇龙之血: 冲击真一境必备的2种丹药之一，使突破到真一境的概率提升10%，只可使用三颗！
化劫丹: 冲击圣祭境必备的丹药，使突破到圣祭境的概率提升20%，只可使用三颗！
太上玄门丹: 冲击天神境必备的丹药，使突破到天神境的概率提升20%，只可使用三颗！
金仙破厄丹: 冲击虚道境必备的丹药，使突破到虚道境的概率提升20%，只可使用三颗！
太乙炼髓丹:冲击斩我境必备的丹药，使突破到斩我境的概率提升20%，只可使用三颗！
遁一丹: 冲击遁一境必备的丹药，使突破到遁一境的概率提升20%，只可使用三颗！
至尊丹: 冲击至尊境必备的丹药，使突破到至尊境的概率提升20%，只可使用三颗！
极品遁一丹: 拍卖行仙品炼丹师炼制，使突破到遁一境的概率提升80%，只可使用三颗！
极品至尊丹: 拍卖行仙品炼丹师炼制，使突破到至尊境的概率提升40%，只可使用3颗！
太清玉液丹: 使下一次突破成功几率增加2%，至尊境以上可使用
一气鸿蒙丹: 使下一次突破成功几率增加3%，真仙境以上可使用
三纹清灵丹: 使下一次突破成功几率增加5%，仙王境以上可使用
九天蕴仙丹: 凡道冲击仙道必备的丹药，使突破到真仙境的概率提升20%，只可使用两颗！
真仙造化丹: 冲击王道领域必备的丹药，使突破到仙王境的概率提升15%，只可使用两颗！
大道归一丹: 王道向帝道前行必备的丹药，使突破到准帝境的概率提升15%，只可使用两颗！
菩提证道丹: 菩提证道丹，王道踏入帝道领域必备的丹药，据说其丹方已经彻底失传了...使突破到准帝境的概率提升15%，只可使用一颗！
摄魂鬼丸: 使用后可以永久增加720点攻击力,器师可以无视境界限制使用！
化煞魔丸: 使用后可以永久增加1760点攻击力,器师可以无视境界限制使用！
素心真丸: 使用后可以永久增加4160点攻击力,器师可以无视境界限制使用！
灭神古丸: 使用后可以永久增加9600点攻击,器师可以无视境界限制使用！
静禅魔丸: 使用后可以永久增加21760点攻击力,器师可以无视境界限制使用！
地仙玄丸: 使用后可以永久增加48640点攻击力,器师可以无视境界限制使用！
消冰宝丸: 使用后可以永久增加104840点攻击力,器师可以无视境界限制使用！
无涯鬼丸: 使用后可以永久增加304840点攻击力,器师可以无视境界限制使用！
太一仙丸: 使用后可以永久增加604840点攻击力,器师可以无视境界限制使用！
渡厄金丹: 使下一次突破丢失的修为减少为0！并且增加一成修为！！
外道兴奋剂: 使用后可以永久增加3000000点攻击力,器师可以无视境界限制使用！
